"workerid","age","gender","item","sentence","rating"
"P1",22,"Female","lonely_oval","The cloud was a LONELY OVAL in the clear blue sky.",3
"P1",22,"Female","unkempt_afternoon","The UNKEMPT AFTERNOON resulted in a horrible evening.",-1
"P1",22,"Female","meat_puppet","George is Pat's MEAT PUPPET, he does whatever she says.",-2
"P1",22,"Female","thin_ice","John is treading on THIN ICE after all the money he borrowed.",3
"P1",22,"Female","firm_deadline","The department imposed a FIRM DEADLINE for the submission of forms.",3
"P1",22,"Female","clean_slate","The previous negotiations did not work, so they will start with a CLEAN SLATE.",-1
"P1",22,"Female","ghost_town","During the pandemic, Montreal became a GHOST TOWN.",-3
"P1",22,"Female","smooth_sailing","After researchers learned the new software, everything was SMOOTH SAILING.",0
"P1",22,"Female","road_hog","If it were not for that ROAD HOG, he would have gotten to work on time.",2
"P1",22,"Female","burning_ambition","He had a BURNING AMBITION to climb to the upper reaches of management.",-2
"P1",22,"Female","dead_act","Most of the audience left halfway through the movie because it was such a DEAD ACT.",0
"P1",22,"Female","paddle_brush","The PADDLE BRUSH is known to work wonders on thicker, longer hair.",1
"P1",22,"Female","blank_sleep","After drinking too much, the boy passed into a BLANK SLEEP.",-2
"P1",22,"Female","cold_feet","Bonnie gets COLD FEET when contemplating her future with Adam.",0
"P1",22,"Female","grey_face","Her GREY FACE suggested that something bad had happened.",-3
"P1",22,"Female","dark_life","It was the only good moment in his otherwise DARK LIFE.",-3
"P1",22,"Female","gold_nugget","The motivational speaker gave his audience another GOLD NUGGET in his recently uploaded video.",0
"P1",22,"Female","sugar_daddy","All of a sudden, he became the big SUGAR DADDY for anybody who needed their rent paid.",0
"P1",22,"Female","bad_egg","He's a bit of a handful, a real BAD EGG.",-2
"P1",22,"Female","restaurant_chain","McDonald's is the most famous RESTAURANT CHAIN in the world.",2
"P1",22,"Female","sharp_mind","She had a SHARP MIND and was knowledgeable on a broad range of topics.",-2
"P1",22,"Female","broken_heart","She was left with a BROKEN HEART after the split with her partner.",-2
"P1",22,"Female","plaster_shackle","The cast on his broken leg was a PLASTER SHACKLE.",0
"P1",22,"Female","beer_goggles","Emily later realized it was the BEER GOGGLES that made the man seem attractive at the bar.",-2
"P1",22,"Female","golden_river","Her long hair was a flowing GOLDEN RIVER.",-3
"P1",22,"Female","sitting_duck","Not wanting to be a SITTING DUCK for the storm, he left the worn down farmhouse.",0
"P1",22,"Female","firm_hand","Supervisors need to have a FIRM HAND with their volunteers.",0
"P1",22,"Female","elephant_ears","ELEPHANT EARS are a great choice to make any garden look like a tropical forest.",-3
"P1",22,"Female","dead_silence","There was DEAD SILENCE in the waiting room.",-3
"P1",22,"Female","rare_bird","Having odd hobbies means you'll be picked on as a RARE BIRD by school bullies.",0
"P1",22,"Female","fresh_courage","He transmitted FRESH COURAGE and hope to the oppressed.",-3
"P1",22,"Female","holy_grail","Finding an HIV vaccine is the HOLY GRAIL of medical research.",0
"P1",22,"Female","party_pooper","Everyone in the room wondered who invited the PARTY POOPER.",3
"P1",22,"Female","helicopter_parent","HELICOPTER PARENTS never stop obsessing over their kids.",-3
"P1",22,"Female","bad_apple","The poor performance of one BAD APPLE can have serious consequences.",-3
"P1",22,"Female","virgin_drink","The couple had to pay $20 for a VIRGIN DRINK at the bar.",-3
"P1",22,"Female","hot_spot","Influencers can get into every HOT SPOT in town.",0
"P1",22,"Female","emotional_rollercoaster","Ever since Itamar received the devastating news, his life has been an EMOTIONAL ROLLERCOASTER.",-3
"P1",22,"Female","dead_face","He had a DEAD FACE look after being asked the same question for the 5th time.",-3
"P1",22,"Female","happy_dawn","The new year sees a HAPPY DAWN and a fresh start.",2
"P1",22,"Female","social_bubble","Her SOCIAL BUBBLE consisted mostly of childless couples with little responsibilities.",0
"P1",22,"Female","low_key","Although he was guaranteed a promotion, Paul kept it LOW KEY.",0
"P1",22,"Female","weak_argument","When someone has a WEAK ARGUMENT, they resort to personal attacks.",0
"P1",22,"Female","clear_intention","Most candidates have a CLEAR INTENTION of what they want to accomplish.",-3
"P1",22,"Female","glass_ceiling","In any company, a GLASS CEILING is broken when a woman can advance to a higher position.",0
"P1",22,"Female","rising_star","The new member of parliament is a RISING STAR in politics.",-3
